[2026-07-03T09:12:23.224Z] GET file:///tmp/papasite/index.html → 200 (3ms, 56888B)
[2026-07-03T09:12:23.234Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,300;1,9..144,400;1,9..144,500&family=Inter:wght@400;500;600&display=swap → 200 (148ms, 1478B)
[2026-07-03T09:12:23.234Z] GET file:///tmp/papasite/assets/portrait.jpg → pending (?ms, ?B)
[2026-07-03T09:12:23.428Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (112ms, 48983B)
[2026-07-03T09:12:23.428Z] GET file:///tmp/papasite/assets/forest-light.jpg → 200 (?ms, 827849B)
[2026-07-03T09:12:23.428Z] GET file:///tmp/papasite/assets/leaves-sun.jpg → 200 (1ms, 2183726B)
[2026-07-03T09:12:23.428Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (151ms, 67542B)
[2026-07-03T09:12:23.428Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (138ms, 81857B)
[2026-07-03T09:12:23.428Z] GET file:///tmp/papasite/assets/path-forest.jpg → 200 (1ms, 598328B)
[2026-07-03T09:13:40.037Z] GET file:///tmp/papasite/assets/desk-online.jpg → 200 (?ms, 149184B)
[2026-07-03T09:23:11.242Z] GET file:///tmp/papasite/index.html → 200 (1ms, 57150B)
[2026-07-03T09:23:11.245Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,300;1,9..144,400;1,9..144,500&family=Inter:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-07-03T09:23:11.245Z] GET file:///tmp/papasite/assets/portrait.jpg → pending (?ms, ?B)
[2026-07-03T09:23:11.254Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-03T09:23:11.254Z] GET file:///tmp/papasite/assets/forest-light.jpg → 200 (?ms, 525561B)
[2026-07-03T09:23:11.254Z] GET file:///tmp/papasite/assets/leaves-sun.jpg → 200 (1ms, 654075B)
[2026-07-03T09:23:11.254Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (1ms, -815B)
[2026-07-03T09:23:11.254Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (1ms, -813B)
[2026-07-03T09:23:11.264Z] GET file:///tmp/papasite/assets/path-forest.jpg → 200 (?ms, 375334B)
[2026-07-03T09:23:39.722Z] GET file:///tmp/papasite/index.html → 200 (1ms, 57150B)
[2026-07-03T09:23:39.725Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300;0,9..144,400;0,9..144,500;0,9..144,600;1,9..144,300;1,9..144,400;1,9..144,500&family=Inter:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-07-03T09:23:39.725Z] GET file:///tmp/papasite/assets/portrait.jpg → pending (?ms, ?B)
[2026-07-03T09:23:39.732Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -815B)
[2026-07-03T09:23:39.732Z] GET file:///tmp/papasite/assets/forest-light.jpg → 200 (?ms, 525561B)
[2026-07-03T09:23:39.732Z] GET file:///tmp/papasite/assets/leaves-sun.jpg → 200 (?ms, 654075B)
[2026-07-03T09:23:39.732Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (1ms, -815B)
[2026-07-03T09:23:39.732Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (1ms, -813B)
